Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0020101,7.5115E-08,0.015227,0,0,0,0.48823,0.00046785,7.6454E-10,3.6155E-08,0.00085431,2.8697E-10,0.0011457,0,0,0,0,0,0,package://JQG12/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JQG12/meshes/base_link.STL,,BODY^JQG总装-1,坐标系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_f_link,0.029689,0.0062796,6.3546E-05,0,0,0,0.09703,3.0876E-05,-7.0161E-08,3.7589E-07,3.4106E-05,1.4117E-08,2.3976E-05,0,0,0,0,0,0,package://JQG12/meshes/l_f_link.STL,1,1,1,1,0,0,0,0,0,0,package://JQG12/meshes/l_f_link.STL,,左前腿^JQG总装-3/舵机固定架-1;左前腿^JQG总装-3/MG996-2;左前腿^JQG总装-3/MG996-1;左前腿^JQG总装-3/腿部限位-1;左前腿^JQG总装-3/合金圆盘-2;左前腿^JQG总装-3/15.21.4轴承-1,坐标系10,基准轴9,l_f_joint,revolute,0.0643,0.0375,0.01495,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
l_f_1link,-0.037087,6.5093E-06,-0.012413,0,0,0,0.018878,1.6778E-06,-1.1017E-07,-3.181E-06,1.1567E-05,-3.6872E-08,1.0117E-05,0,0,0,0,0,0,package://JQG12/meshes/l_f_1link.STL,0.20392,0.20392,0.20392,1,0,0,0,0,0,0,package://JQG12/meshes/l_f_1link.STL,,左前腿^JQG总装-3/左大腿-1;左前腿^JQG总装-3/合金圆盘-1;左前腿^JQG总装-3/483轴承-2;左前腿^JQG总装-3/483轴承-1,坐标系1,基准轴1,l_f_1link,revolute,0.02055,0.0323,-0.01,0,0,0,l_f_link,0,1,0,0,0,0,0,,,,,,,,
l_f_2link,0.025876,0.00021878,-0.045422,0,0,0,0.019798,2.1203E-05,1.4753E-07,1.3808E-05,3.0541E-05,-2.4183E-07,1.0141E-05,0,0,0,0,0,0,package://JQG12/meshes/l_f_2link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://JQG12/meshes/l_f_2link.STL,,左前腿^JQG总装-3/小腿-1,坐标系5,基准轴5,l_f_2link,revolute,-0.085347,0,-0.028565,0,0,0,l_f_1link,0,1,0,0,0,0,0,,,,,,,,
l_b_link,-0.029142,0.0062906,6.3684E-05,0,0,0,0.096818,3.0834E-05,1.3921E-07,3.7439E-07,3.3971E-05,1.4113E-08,2.3844E-05,0,0,0,0,0,0,package://JQG12/meshes/l_b_link.STL,1,1,1,1,0,0,0,0,0,0,package://JQG12/meshes/l_b_link.STL,,左后腿^JQG总装-1/舵机固定架2-1;左后腿^JQG总装-1/MG996-2;左后腿^JQG总装-1/MG996-1;左后腿^JQG总装-1/腿部限位-1;左后腿^JQG总装-1/合金圆盘-5;左后腿^JQG总装-1/15.21.4轴承-1,坐标系11,基准轴10,l_b_joint,revolute,-0.0643,0.0375,0.01495,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
l_b_1link,-0.026879,6.5079E-06,-0.028408,0,0,0,0.018878,6.1897E-06,-7.9844E-08,-5.2763E-06,1.1567E-05,-8.4387E-08,5.6053E-06,0,0,0,0,0,0,package://JQG12/meshes/l_b_1link.STL,0.20392,0.20392,0.20392,1,0,0,0,0,0,0,package://JQG12/meshes/l_b_1link.STL,,左后腿^JQG总装-1/左大腿-1;左后腿^JQG总装-1/合金圆盘-2;左后腿^JQG总装-1/483轴承-2;左后腿^JQG总装-1/483轴承-1,坐标系2,基准轴2,l_b_1link,revolute,-0.04045,0.0323,-0.01,0,0,0,l_b_link,0,1,0,0,0,0,0,,,,,,,,
l_b_2link,0.037301,0.00021879,-0.036625,0,0,0,0.019798,1.312E-05,2.0799E-07,1.4654E-05,3.0541E-05,-1.9232E-07,1.8224E-05,0,0,0,0,0,0,package://JQG12/meshes/l_b_2link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://JQG12/meshes/l_b_2link.STL,,左后腿^JQG总装-1/小腿-1,坐标系6,基准轴6,l_b_2link,revolute,-0.061855,0,-0.065375,0,0,0,l_b_1link,0,1,0,0,0,0,0,,,,,,,,
r_f_link,0.029689,-0.0062796,6.3542E-05,0,0,0,0.09703,3.0876E-05,7.0161E-08,3.7576E-07,3.4106E-05,-1.411E-08,2.3976E-05,0,0,0,0,0,0,package://JQG12/meshes/r_f_link.STL,1,1,1,1,0,0,0,0,0,0,package://JQG12/meshes/r_f_link.STL,,右前腿^JQG总装-1/MG996-1;右前腿^JQG总装-1/MG996-2;右前腿^JQG总装-1/右腿部限位-1;右前腿^JQG总装-1/舵机固定架3-1;右前腿^JQG总装-1/合金圆盘-2;右前腿^JQG总装-1/15.21.4轴承-1,坐标系12,基准轴11,r_f_joint,revolute,0.0643,-0.0375,0.01495,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
r_f_1link,-0.013037,-9.6442E-06,-0.036954,0,0,0,0.018883,1.0042E-05,3.9418E-08,-3.3267E-06,1.1601E-05,1.1173E-07,1.7862E-06,0,0,0,0,0,0,package://JQG12/meshes/r_f_1link.STL,0.20392,0.20392,0.20392,1,0,0,0,0,0,0,package://JQG12/meshes/r_f_1link.STL,,右前腿^JQG总装-1/右大腿-1;右前腿^JQG总装-1/合金圆盘-1;右前腿^JQG总装-1/483轴承-2;右前腿^JQG总装-1/483轴承-1,坐标系3,基准轴3,r_f_1link,revolute,0.02055,-0.0323,-0.01,0,0,0,r_f_link,0,-1,0,0,0,0,0,,,,,,,,
r_f_2link,0.032289,-0.00021871,-0.041112,0,0,0,0.019798,1.6937E-05,-1.8157E-07,1.4821E-05,3.0541E-05,2.1744E-07,1.4407E-05,0,0,0,0,0,0,package://JQG12/meshes/r_f_2link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://JQG12/meshes/r_f_2link.STL,,右前腿^JQG总装-1/右小腿-1,坐标系7,基准轴7,r_f_2link,revolute,-0.029943,0,-0.084873,0,0,0,r_f_1link,0,-1,0,0,0,0,0,,,,,,,,
